Molecule ChEMBL ID,Molecular Weight,#RO5 Violations,AlogP,Smiles,pChEMBL Value
CHEMBL589153,447.94,0,2.94,CS(=O)(=O)NCCC(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1,6.81
CHEMBL594459,403.53,0,4,Cc1ccc2[nH]c3c(c2c1)CCN(C(=O)C1CCCN(C)C1)C3c1cccc(O)c1,6.05
CHEMBL604670,351.41,0,2.4,NCCC(=O)N1CCc2c([nH]c3ccc(O)cc23)C1c1cccc(O)c1,5.35
CHEMBL232133,431.48,1,5.14,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(C(F)(F)F)cc1)C(=O)O,6.93
CHEMBL412132,442.38,0,4.89,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Br)cc1)C(=O)O,7.57
CHEMBL259257,329.47,0,3.73,CC(C)C(SC[C@H](N)C(=O)O)(c1ccccc1)c1ccccc1,5.94
CHEMBL1078873,336.48,1,5.2,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccc(N)c1)N2,5.64
CHEMBL242181,328.3,0,2.29,NS(=O)(=O)Nc1ccc(-c2ccc3c(c2)OC(F)(F)O3)cc1,7.51
CHEMBL239414,468.55,0,3.76,CC(=O)N1CCN(CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1,8.55
CHEMBL240705,429.51,0,4.18,COCCN(C)CCC[C@@]1(c2ccccc2)CC(c2cc(F)ccc2F)=NN1C(C)=O,8.7
CHEMBL240498,415.46,0,4.25,CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CC(F)C1)c1ccccc1,8.74
CHEMBL378389,308.43,0,3.93,Cc1ccc2c(c1C)CN(C(=O)N(C)C)CC2c1ccccc1,5.56
CHEMBL204371,279.38,0,3.8,CC(=O)N1Cc2c(ccc(C)c2C)C(c2ccccc2)C1,4.75
CHEMBL392369,393.51,0,4.13,COc1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,6.57
CHEMBL591332,320.39,0,3.68,CC(=O)N1CCc2c([nH]c3ccc(C)cc23)C1c1cccc(O)c1,6.7
CHEMBL1173640,181.24,0,3.63,Cc1ccc2c(c1)[nH]c1ccccc12,4.66
CHEMBL444714,181.24,0,3.63,Cc1cccc2c1[nH]c1ccccc12,4.64
CHEMBL1172899,221.3,0,4.2,c1ccc2c(c1)[nH]c1cc3c(cc12)CCCC3,4.6
CHEMBL1163525,406.31,0,3.35,CC(N)C(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1.Cl,6.32
CHEMBL1164860,364.4,0,3.21,CCC(=O)N1C(C(=O)O)Cc2c([nH]c3ccccc23)C1c1cccc(O)c1,6.93
CHEMBL251142,478.57,0,3.23,CC(=O)C1=NN2c3cc(F)ccc3OC[C@H]2[C@@]1(CCCN1CCC(=O)N(C)CC1)c1ccccc1,9.05
CHEMBL1688925,439.58,1,5.79,N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1)C(=O)O,5.71
CHEMBL1688926,419.59,1,5.42,CC(C)(C)c1ccc(C(SC[C@H](N)C(=O)O)(c2ccccc2)c2ccccc2)cc1,5.91
CHEMBL1078894,339.45,1,5.76,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(F)cc1)N2,6.57
CHEMBL1093087,481.56,1,6.17,NCCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)c1ccccc1,7.72
CHEMBL2031570,485.58,0,4.91,Cc1ccsc1CCN1C(=S)N(c2ccc(F)cc2)C(=O)C1CC(=O)Nc1ccc(F)cc1,6.22
